route_id,agency_id,route_short_name,route_type,route_color,route_text_color,route_long_name
PV1_403,PV1,403,3,662483,FFFFFF,
PV1_405,PV1,405,3,662483,FFFFFF,
PV1_406,PV1,406,3,662483,FFFFFF,
PV1_407,PV1,407,3,662483,FFFFFF,
PV1_408,PV1,408,3,662483,FFFFFF,
PV1_409,PV1,409,3,662483,FFFFFF,
PV1_409B,PV1,409B,3,662483,FFFFFF,
PV1_411,PV1,411,3,662483,FFFFFF,
PV1_412,PV1,412,3,662483,FFFFFF,
PV1_413,PV1,413,3,662483,FFFFFF,
PV1_416,PV1,416,3,662483,FFFFFF,
PV1_417,PV1,417,3,662483,FFFFFF,
PV1_418,PV1,418,3,662483,FFFFFF,
PV1_419,PV1,419,3,662483,FFFFFF,
PV1_420,PV1,420,3,662483,FFFFFF,
PV1_427,PV1,427,3,662483,FFFFFF,
PV1_428,PV1,428,3,662483,FFFFFF,
PV2_429,PV2,429,3,662483,FFFFFF,
PV2_436,PV2,436,3,662483,FFFFFF,
PV1_438,PV1,438,3,662483,FFFFFF,
PV1_439,PV1,439,3,662483,FFFFFF,
PV1_440,PV1,440,3,662483,FFFFFF,
PV1_449,PV1,449,3,662483,FFFFFF,
PV1_450,PV1,450,3,662483,FFFFFF,
PV1_451,PV1,451,3,662483,FFFFFF,
PV1_452,PV1,452,3,662483,FFFFFF,
PV1_454,PV1,454,3,662483,FFFFFF,
PV1_455,PV1,455,3,662483,FFFFFF,
PV1_457,PV1,457,3,662483,FFFFFF,
PV1_458,PV1,458,3,662483,FFFFFF,
PV1_459,PV1,459,3,662483,FFFFFF,
PV1_460,PV1,460,3,662483,FFFFFF,
PV1_461,PV1,461,3,662483,FFFFFF,
PV9_462,PV9,462,3,662483,FFFFFF,
PV9_466,PV9,466,3,662483,FFFFFF,
PV1_467,PV1,467,3,662483,FFFFFF,
PV1_468,PV1,468,3,662483,FFFFFF,
PV1_468B,PV1,468B,3,662483,FFFFFF,
PV2_470,PV2,470,3,662483,FFFFFF,
PV1_472,PV1,472,3,662483,FFFFFF,
PV1_473,PV1,473,3,662483,FFFFFF,
PV1_475,PV1,475,3,662483,FFFFFF,
PV2_476,PV2,476,3,662483,FFFFFF,
PV1_479,PV1,479,3,662483,FFFFFF,
PV1_480,PV1,480,3,662483,FFFFFF,
PV2_481,PV2,481,3,662483,FFFFFF,
